2022-04-18 10:19:58.937 [main] INFO  miniproj.Calculator.App - [FACTORIAL] - 5
2022-04-18 10:19:58.938 [main] INFO  miniproj.Calculator.App - [RESULT - FACTORIAL] - 120
2022-04-18 10:19:58.938 [main] INFO  miniproj.Calculator.App - [FACTORIAL] - 4
2022-04-18 10:19:58.938 [main] INFO  miniproj.Calculator.App - [RESULT - FACTORIAL] - 24
2022-04-18 10:19:58.939 [main] INFO  miniproj.Calculator.App - [ROOT] - 25.0
2022-04-18 10:19:58.939 [main] INFO  miniproj.Calculator.App - [RESULT - ROOT] - 5.0
2022-04-18 10:19:58.939 [main] INFO  miniproj.Calculator.App - [ROOT] - 36.0
2022-04-18 10:19:58.939 [main] INFO  miniproj.Calculator.App - [RESULT - ROOT] - 6.0
2022-04-18 10:19:58.940 [main] INFO  miniproj.Calculator.App - [LOG] - 25.0
2022-04-18 10:19:58.940 [main] INFO  miniproj.Calculator.App - [RESULT - LOG] - 3.2188758248682006
2022-04-18 10:19:58.940 [main] INFO  miniproj.Calculator.App - [ROOT] - 2.0
2022-04-18 10:19:58.940 [main] INFO  miniproj.Calculator.App - [RESULT - ROOT] - 1.4142135623730951
2022-04-18 10:19:58.940 [main] INFO  miniproj.Calculator.App - [POW] - 25.0-2.0
2022-04-18 10:19:58.941 [main] INFO  miniproj.Calculator.App - [RESULT - POW] - 625.0
2022-04-18 10:19:58.941 [main] INFO  miniproj.Calculator.App - [POW] - 5.0-25.0
2022-04-18 10:19:58.941 [main] INFO  miniproj.Calculator.App - [RESULT - POW] - 2.9802322387695315E17
